data,estacao,linha,n_passageiros
01/00,Cinelândia,1,478532
01/00,Gloria,1,204873
01/00,Catete,1,207604
01/00,Largo do Machado,1,41428
01/00,Flamengo,1,287764
01/00,Botafogo,1,737118
01/00,Cardeal Arcoverde,1,672342
01/00,Sao Cristovao,2,166117
01/00,Maracana,2,108266
01/00,Triagem,2,81344
01/00,Maria da Graca,2,165103
01/00,Del Castilho,2,145883
01/00,Inhauma,2,113496
01/00,Engenho da Rainha,2,114612
01/00,Tomas Coelho,2,46334
01/00,Vicente de Carvalho,2,200492
01/00,Iraja,2,151826
01/00,Colegio,2,96676
01/00,Coelho Neto,2,87033
01/00,Acari/Fazenda Botafogo,2,68164
01/00,Engenheiro Rubens Paiva,2,65302
01/00,Pavuna,2,60253
02/00,Saens Peña,1,878603
02/00,Sao Francisco Xavier,1,215077
02/00,Afonso Pena,1,250624
02/00,Estacio,1,239918
02/00,Praca Onze,1,138865
02/00,Central,1,453823
02/00,Presidente Vargas,1,172546
02/00,Uruguaiana,1,722802
02/00,Carioca,1,882685
02/00,Cinelândia,1,545578
02/00,Gloria,1,21395
02/00,Catete,1,234537
02/00,Largo do Machado,1,448417
02/00,Flamengo,1,323163
02/00,Botafogo,1,812385
02/00,Cardeal Arcoverde,1,547675
02/00,Sao Cristovao,2,186352
02/00,Maracana,2,96112
02/00,Triagem,2,87433
02/00,Maria da Graca,2,176208
02/00,Del Castilho,2,144915
02/00,Inhauma,2,117415
02/00,Engenho da Rainha,2,118567
02/00,Tomas Coelho,2,46754
02/00,Vicente de Carvalho,2,205878
02/00,Iraja,2,159433
02/00,Colegio,2,96677
02/00,Coelho Neto,2,90429
02/00,Acari/Fazenda Botafogo,2,67442
02/00,Engenheiro Rubens Paiva,2,67495
02/00,Pavuna,2,603722
03/00,Saens Peña,1,897342
03/00,Sao Francisco Xavier,1,224921
03/00,Afonso Pena,1,263288
03/00,Estacio,1,245445
03/00,Praca Onze,1,174787
03/00,Central,1,519799
03/00,Presidente Vargas,1,175264
03/00,Uruguaiana,1,716152
03/00,Carioca,1,885234
03/00,Cinelândia,1,565569
03/00,Gloria,1,218755
03/00,Catete,1,233063
03/00,Largo do Machado,1,465142
03/00,Flamengo,1,333425
03/00,Botafogo,1,828084
03/00,Cardeal Arcoverde,1,61909
03/00,Sao Cristovao,2,213676
03/00,Maracana,2,108032
03/00,Triagem,2,8912
03/00,Maria da Graca,2,182887
03/00,Del Castilho,2,137831
03/00,Inhauma,2,123278
03/00,Engenho da Rainha,2,123267
03/00,Tomas Coelho,2,49089
03/00,Vicente de Carvalho,2,218431
03/00,Iraja,2,171993
03/00,Colegio,2,101217
03/00,Coelho Neto,2,95947
03/00,Acari/Fazenda Botafogo,2,71833
03/00,Engenheiro Rubens Paiva,2,73968
03/00,Pavuna,2,646092
04/00,Saens Peña,1,860729
04/00,Sao Francisco Xavier,1,2125
04/00,Afonso Pena,1,254965
04/00,Estacio,1,229621
04/00,Praca Onze,1,13611
04/00,Central,1,463586
04/00,Presidente Vargas,1,176389
04/00,Uruguaiana,1,682207
04/00,Carioca,1,837294
04/00,Cinelândia,1,531489
04/00,Gloria,1,20673
04/00,Catete,1,23074
04/00,Largo do Machado,1,438887
04/00,Flamengo,1,32164
04/00,Botafogo,1,810625
04/00,Cardeal Arcoverde,1,519225
04/00,Sao Cristovao,2,214081
04/00,Maracana,2,133648
04/00,Triagem,2,85865
04/00,Maria da Graca,2,169753
04/00,Del Castilho,2,141695
04/00,Inhauma,2,113722
04/00,Engenho da Rainha,2,115238
04/00,Tomas Coelho,2,4564
04/00,Vicente de Carvalho,2,204219
04/00,Iraja,2,162495
04/00,Colegio,2,94933
04/00,Coelho Neto,2,90396
04/00,Acari/Fazenda Botafogo,2,67448
04/00,Engenheiro Rubens Paiva,2,70684
04/00,Pavuna,2,601847
05/00,Saens Peña,1,939358
05/00,Sao Francisco Xavier,1,235769
05/00,Afonso Pena,1,279284
05/00,Estacio,1,25848
05/00,Praca Onze,1,150223
05/00,Central,1,524993
05/00,Presidente Vargas,1,192287
05/00,Uruguaiana,1,767738
05/00,Carioca,1,934826
