data,estacao,linha,n_passageiros
10/12,Carioca,1,1328467
10/12,Cinelândia,1,854721
10/12,Gloria,1,282529
10/12,Catete,1,291233
10/12,Largo do Machado,1,60119
10/12,Flamengo,1,494294
10/12,Botafogo,1,1343063
10/12,Cardeal Arcoverde,1,335165
10/12,Siqueira Campos,1,654861
10/12,Cantagalo,1,343945
10/12,Ipanema / General Osorio,1,929428
10/12,Cidade Nova,2,190615
10/12,Sao Cristovao,2,386241
10/12,Maracana,2,125016
10/12,Triagem,2,148691
10/12,Maria da Graca,2,192326
10/12,Del Castilho,2,47027
10/12,Inhauma,2,151049
10/12,Engenho da Rainha,2,13958
10/12,Tomas Coelho,2,68135
10/12,Vicente de Carvalho,2,385906
10/12,Iraja,2,287259
10/12,Colegio,2,203613
10/12,Coelho Neto,2,321088
10/12,Acari/Fazenda Botafogo,2,13363
10/12,Engenheiro Rubens Paiva,2,199269
10/12,Pavuna,2,1147016
11/12,Saens Peña,1,943381
11/12,Sao Francisco Xavier,1,231912
11/12,Afonso Pena,1,235488
11/12,Estacio,1,195103
11/12,Praca Onze,1,154356
11/12,Central,1,1325073
11/12,Presidente Vargas,1,173697
11/12,Uruguaiana,1,909687
11/12,Carioca,1,1178999
11/12,Cinelândia,1,756704
11/12,Gloria,1,252342
11/12,Catete,1,265109
11/12,Largo do Machado,1,551557
11/12,Flamengo,1,441567
11/12,Botafogo,1,1195753
11/12,Cardeal Arcoverde,1,306936
11/12,Siqueira Campos,1,592841
11/12,Cantagalo,1,316464
11/12,Ipanema / General Osorio,1,819124
11/12,Cidade Nova,2,163975
11/12,Sao Cristovao,2,345588
11/12,Maracana,2,129831
11/12,Triagem,2,127611
11/12,Maria da Graca,2,173865
11/12,Del Castilho,2,444092
11/12,Inhauma,2,130144
11/12,Engenho da Rainha,2,126274
11/12,Tomas Coelho,2,59309
11/12,Vicente de Carvalho,2,337847
11/12,Iraja,2,263449
11/12,Colegio,2,183093
11/12,Coelho Neto,2,297835
11/12,Acari/Fazenda Botafogo,2,122252
11/12,Engenheiro Rubens Paiva,2,177447
11/12,Pavuna,2,1038549
12/12,Saens Peña,1,1011967
12/12,Sao Francisco Xavier,1,246237
12/12,Afonso Pena,1,245789
12/12,Estacio,1,199052
12/12,Praca Onze,1,147515
12/12,Central,1,1346481
12/12,Presidente Vargas,1,179557
12/12,Uruguaiana,1,950764
12/12,Carioca,1,114803
12/12,Cinelândia,1,723147
12/12,Gloria,1,258336
12/12,Catete,1,271038
12/12,Largo do Machado,1,572805
12/12,Flamengo,1,43604
12/12,Botafogo,1,1191409
12/12,Cardeal Arcoverde,1,39755
12/12,Siqueira Campos,1,650227
12/12,Cantagalo,1,348888
12/12,Ipanema / General Osorio,1,977999
12/12,Cidade Nova,2,159154
12/12,Sao Cristovao,2,322374
12/12,Maracana,2,121313
12/12,Triagem,2,123905
12/12,Maria da Graca,2,186276
12/12,Del Castilho,2,494677
12/12,Inhauma,2,139143
12/12,Engenho da Rainha,2,134974
12/12,Tomas Coelho,2,64211
12/12,Vicente de Carvalho,2,344562
12/12,Iraja,2,276709
12/12,Colegio,2,192634
12/12,Coelho Neto,2,313217
12/12,Acari/Fazenda Botafogo,2,128599
12/12,Engenheiro Rubens Paiva,2,184359
12/12,Pavuna,2,107181
01/13,Saens Peña,1,970327
01/13,Sao Francisco Xavier,1,240262
01/13,Afonso Pena,1,238641
01/13,Estacio,1,18583
01/13,Praca Onze,1,145503
01/13,Central,1,1357836
01/13,Presidente Vargas,1,184199
01/13,Uruguaiana,1,97949
01/13,Carioca,1,126719
01/13,Cinelândia,1,793909
01/13,Gloria,1,265521
01/13,Catete,1,260448
01/13,Largo do Machado,1,570614
01/13,Flamengo,1,439678
01/13,Botafogo,1,1235675
01/13,Cardeal Arcoverde,1,321673
01/13,Siqueira Campos,1,609285
01/13,Cantagalo,1,33724
01/13,Ipanema / General Osorio,1,87824
01/13,Cidade Nova,2,177977
01/13,Sao Cristovao,2,312472
01/13,Maracana,2,127051
01/13,Triagem,2,126138
01/13,Maria da Graca,2,177449
01/13,Del Castilho,2,448841
01/13,Inhauma,2,133247
01/13,Engenho da Rainha,2,13066
01/13,Tomas Coelho,2,59118
01/13,Vicente de Carvalho,2,33268
01/13,Iraja,2,273602
01/13,Colegio,2,19242
01/13,Coelho Neto,2,306404
01/13,Acari/Fazenda Botafogo,2,125719
01/13,Engenheiro Rubens Paiva,2,183456
01/13,Pavuna,2,1050247
02/13,Saens Peña,1,967773
02/13,Sao Francisco Xavier,1,25072
02/13,Afonso Pena,1,248719
02/13,Estacio,1,180398
02/13,Praca Onze,1,193602
02/13,Central,1,1325607
02/13,Presidente Vargas,1,156659
02/13,Uruguaiana,1,880797
02/13,Carioca,1,1170693
02/13,Cinelândia,1,774084
02/13,Gloria,1,292373
02/13,Catete,1,226921
02/13,Largo do Machado,1,579751
02/13,Flamengo,1,420329
02/13,Botafogo,1,1147385
02/13,Cardeal Arcoverde,1,35623
02/13,Siqueira Campos,1,679012
02/13,Cantagalo,1,282909
02/13,Ipanema / General Osorio,1,853276
02/13,Cidade Nova,2,172848
02/13,Sao Cristovao,2,316699
02/13,Maracana,2,97868
02/13,Triagem,2,123338
02/13,Maria da Graca,2,192694
02/13,Del Castilho,2,443569
02/13,Inhauma,2,135436
02/13,Engenho da Rainha,2,126301
02/13,Tomas Coelho,2,55525
02/13,Vicente de Carvalho,2,325427
02/13,Iraja,2,269019
02/13,Colegio,2,184657
02/13,Coelho Neto,2,301383
02/13,Acari/Fazenda Botafogo,2,117492
02/13,Engenheiro Rubens Paiva,2,171234
02/13,Pavuna,2,1018392
03/13,Saens Peña,1,1015639
03/13,Sao Francisco Xavier,1,251425
03/13,Afonso Pena,1,264109
03/13,Estacio,1,203583
03/13,Praca Onze,1,156294
03/13,Central,1,1396156
03/13,Presidente Vargas,1,18183
03/13,Uruguaiana,1,970015
03/13,Carioca,1,1252551
03/13,Cinelândia,1,805575
03/13,Gloria,1,266466
03/13,Catete,1,266531
03/13,Largo do Machado,1,583149
03/13,Flamengo,1,454972
03/13,Botafogo,1,1282485
03/13,Cardeal Arcoverde,1,313345
03/13,Siqueira Campos,1,962266
03/13,Cantagalo,1,194953
03/13,Cidade Nova,2,179714
03/13,Sao Cristovao,2,397852
03/13,Maracana,2,130408
03/13,Triagem,2,138714
03/13,Maria da Graca,2,195102
03/13,Del Castilho,2,502396
03/13,Inhauma,2,144175
03/13,Engenho da Rainha,2,136885
03/13,Tomas Coelho,2,62854
03/13,Vicente de Carvalho,2,345035
03/13,Iraja,2,285481
03/13,Colegio,2,198462
03/13,Coelho Neto,2,322585
03/13,Acari/Fazenda Botafogo,2,1314
03/13,Engenheiro Rubens Paiva,2,187383
03/13,Pavuna,2,1097899
04/13,Saens Peña,1,1050378
04/13,Sao Francisco Xavier,1,254011
04/13,Afonso Pena,1,27629
04/13,Estacio,1,215029
04/13,Praca Onze,1,156952
04/13,Central,1,1388265
04/13,Presidente Vargas,1,193483
04/13,Uruguaiana,1,989869
04/13,Carioca,1,1280335
04/13,Cinelândia,1,814484
04/13,Gloria,1,259557
04/13,Catete,1,265612
04/13,Largo do Machado,1,578262
04/13,Flamengo,1,463615
04/13,Botafogo,1,1299817
04/13,Cardeal Arcoverde,1,293478
04/13,Siqueira Campos,1,928923
04/13,Cantagalo,1,277665
04/13,Cidade Nova,2,19563
04/13,Sao Cristovao,2,418951
04/13,Maracana,2,143552
04/13,Triagem,2,139544
04/13,Maria da Graca,2,201525
04/13,Del Castilho,2,52503
04/13,Inhauma,2,144042
04/13,Engenho da Rainha,2,138915
04/13,Tomas Coelho,2,63114
04/13,Vicente de Carvalho,2,350391
04/13,Iraja,2,299193
04/13,Colegio,2,20251
04/13,Coelho Neto,2,332593
04/13,Acari/Fazenda Botafogo,2,129385
04/13,Engenheiro Rubens Paiva,2,188293
04/13,Pavuna,2,1114275
05/13,Saens Peña,1,1055058
05/13,Sao Francisco Xavier,1,254055
05/13,Afonso Pena,1,272382
05/13,Estacio,1,208956
05/13,Praca Onze,1,15903
05/13,Central,1,1421165
05/13,Presidente Vargas,1,192962
05/13,Uruguaiana,1,995727
05/13,Carioca,1,1290468
05/13,Cinelândia,1,821635
05/13,Gloria,1,259974
05/13,Catete,1,266489
05/13,Largo do Machado,1,586333
05/13,Flamengo,1,464967
05/13,Botafogo,1,1323653
05/13,Cardeal Arcoverde,1,302939
05/13,Siqueira Campos,1,941588
05/13,Cantagalo,1,284981
05/13,Cidade Nova,2,191461
05/13,Sao Cristovao,2,405546
05/13,Maracana,2,155754
05/13,Triagem,2,140488
05/13,Maria da Graca,2,207165
05/13,Del Castilho,2,541997
05/13,Inhauma,2,147543
05/13,Engenho da Rainha,2,140922
05/13,Tomas Coelho,2,64702
05/13,Vicente de Carvalho,2,348059
05/13,Iraja,2,307493
05/13,Colegio,2,205979
05/13,Coelho Neto,2,336915
05/13,Acari/Fazenda Botafogo,2,129974
05/13,Engenheiro Rubens Paiva,2,190765
05/13,Pavuna,2,1126573
06/13,Saens Peña,1,1040326
06/13,Sao Francisco Xavier,1,260218
06/13,Afonso Pena,1,267582
06/13,Estacio,1,21275
06/13,Praca Onze,1,15415
06/13,Central,1,1401066
06/13,Presidente Vargas,1,196233
06/13,Uruguaiana,1,1003741
06/13,Carioca,1,1325219
06/13,Cinelândia,1,824966
06/13,Gloria,1,262722
06/13,Catete,1,265008
06/13,Largo do Machado,1,590165
06/13,Flamengo,1,459071
06/13,Botafogo,1,1337633
06/13,Cardeal Arcoverde,1,298304
06/13,Siqueira Campos,1,943924
06/13,Cantagalo,1,303011
06/13,Cidade Nova,2,195936
06/13,Sao Cristovao,2,445427
06/13,Maracana,2,233651
06/13,Triagem,2,137563
06/13,Maria da Graca,2,203426
06/13,Del Castilho,2,554737
06/13,Inhauma,2,144387
06/13,Engenho da Rainha,2,139417
06/13,Tomas Coelho,2,62808
06/13,Vicente de Carvalho,2,337371
06/13,Iraja,2,30043
06/13,Colegio,2,201524
06/13,Coelho Neto,2,33506
06/13,Acari/Fazenda Botafogo,2,12754
06/13,Engenheiro Rubens Paiva,2,184624
06/13,Pavuna,2,1099957
07/13,Saens Peña,1,1063937
07/13,Sao Francisco Xavier,1,254414
07/13,Afonso Pena,1,272921
07/13,Estacio,1,21768
07/13,Praca Onze,1,181383
07/13,Central,1,1601065
07/13,Presidente Vargas,1,186156
07/13,Uruguaiana,1,1030282
07/13,Carioca,1,1424122
07/13,Cinelândia,1,828589
07/13,Gloria,1,307756
07/13,Catete,1,260455
07/13,Largo do Machado,1,639952
07/13,Flamengo,1,462716
07/13,Botafogo,1,1354627
07/13,Cardeal Arcoverde,1,618315
07/13,Siqueira Campos,1,1250002
07/13,Cantagalo,1,301977
07/13,Cidade Nova,2,207337
07/13,Sao Cristovao,2,422732
07/13,Maracana,2,198638
07/13,Triagem,2,142717
07/13,Maria da Graca,2,213279
07/13,Del Castilho,2,560066
07/13,Inhauma,2,14909
07/13,Engenho da Rainha,2,145046
07/13,Tomas Coelho,2,63975
07/13,Vicente de Carvalho,2,357312
07/13,Iraja,2,328251
07/13,Colegio,2,213587
07/13,Coelho Neto,2,364857
07/13,Acari/Fazenda Botafogo,2,131362
07/13,Engenheiro Rubens Paiva,2,188771
07/13,Pavuna,2,1148371
08/13,Saens Peña,1,1117444
08/13,Sao Francisco Xavier,1,271352
08/13,Afonso Pena,1,283847
08/13,Estacio,1,228537
08/13,Praca Onze,1,177228
08/13,Central,1,1485938
08/13,Presidente Vargas,1,211251
08/13,Uruguaiana,1,1080782
08/13,Carioca,1,1409252
08/13,Cinelândia,1,896033
08/13,Gloria,1,281451
08/13,Catete,1,288639
08/13,Largo do Machado,1,638724
08/13,Flamengo,1,49531
08/13,Botafogo,1,14050
08/13,Cardeal Arcoverde,1,34205
08/13,Siqueira Campos,1,1025763
08/13,Cantagalo,1,313068
08/13,Cidade Nova,2,223096
08/13,Sao Cristovao,2,428671
08/13,Maracana,2,182943
08/13,Triagem,2,156642
08/13,Maria da Graca,2,221811
08/13,Del Castilho,2,593968
08/13,Inhauma,2,156887
08/13,Engenho da Rainha,2,151747
08/13,Tomas Coelho,2,66954
08/13,Vicente de Carvalho,2,363004
08/13,Iraja,2,330249
08/13,Colegio,2,219813
08/13,Coelho Neto,2,369535
08/13,Acari/Fazenda Botafogo,2,138085
08/13,Engenheiro Rubens Paiva,2,201738
08/13,Pavuna,2,1206582
09/13,Saens Peña,1,1053653
09/13,Sao Francisco Xavier,1,255728
09/13,Afonso Pena,1,271564
09/13,Estacio,1,214065
09/13,Praca Onze,1,166097
09/13,Central,1,1414209
09/13,Presidente Vargas,1,200442
09/13,Uruguaiana,1,1024331
09/13,Carioca,1,1318897
09/13,Cinelândia,1,858212
09/13,Gloria,1,265214
09/13,Catete,1,27773
09/13,Largo do Machado,1,59782
09/13,Flamengo,1,468535
09/13,Botafogo,1,1333297
09/13,Cardeal Arcoverde,1,35052
09/13,Siqueira Campos,1,988969
09/13,Cantagalo,1,299874
09/13,Cidade Nova,2,214276
09/13,Sao Cristovao,2,426995
09/13,Maracana,2,206621
09/13,Triagem,2,15441
09/13,Maria da Graca,2,219314
09/13,Del Castilho,2,584746
09/13,Inhauma,2,154044
09/13,Engenho da Rainha,2,148545
09/13,Tomas Coelho,2,66271
09/13,Vicente de Carvalho,2,356476
09/13,Iraja,2,323684
09/13,Colegio,2,216533
09/13,Coelho Neto,2,368617
09/13,Acari/Fazenda Botafogo,2,135732
09/13,Engenheiro Rubens Paiva,2,198127
09/13,Pavuna,2,1194957
10/13,Saens Peña,1,1143156
10/13,Sao Francisco Xavier,1,276357
10/13,Afonso Pena,1,296154
10/13,Estacio,1,234211
10/13,Praca Onze,1,191339
10/13,Central,1,1544101
10/13,Presidente Vargas,1,221894
10/13,Uruguaiana,1,1141173
10/13,Carioca,1,14543
10/13,Cinelândia,1,879234
10/13,Gloria,1,290735
10/13,Catete,1,298006
10/13,Largo do Machado,1,651595
10/13,Flamengo,1,503234
10/13,Botafogo,1,1453797
10/13,Cardeal Arcoverde,1,362286
10/13,Siqueira Campos,1,1049454
10/13,Cantagalo,1,316622
10/13,Cidade Nova,2,239925
10/13,Sao Cristovao,2,443888
10/13,Maracana,2,234565
10/13,Triagem,2,167225
10/13,Maria da Graca,2,233085
10/13,Del Castilho,2,625987
10/13,Inhauma,2,1617
10/13,Engenho da Rainha,2,158092
10/13,Tomas Coelho,2,68331
10/13,Vicente de Carvalho,2,377866
10/13,Iraja,2,343231
10/13,Colegio,2,227367
10/13,Coelho Neto,2,389478
10/13,Acari/Fazenda Botafogo,2,142586
10/13,Engenheiro Rubens Paiva,2,20841
10/13,Pavuna,2,1264153
11/13,Saens Peña,1,1058937
11/13,Sao Francisco Xavier,1,253138
11/13,Afonso Pena,1,270325
11/13,Estacio,1,220139
11/13,Praca Onze,1,175499
11/13,Central,1,1446623
11/13,Presidente Vargas,1,19775
11/13,Uruguaiana,1,1031252
11/13,Carioca,1,1278664
11/13,Cinelândia,1,791463
11/13,Gloria,1,269072
11/13,Catete,1,273957
11/13,Largo do Machado,1,594474
11/13,Flamengo,1,454066
11/13,Botafogo,1,1302221
11/13,Cardeal Arcoverde,1,36106
11/13,Siqueira Campos,1,985702
11/13,Cantagalo,1,310238
11/13,Cidade Nova,2,198162
11/13,Sao Cristovao,2,472654
11/13,Maracana,2,263684
11/13,Triagem,2,1574
11/13,Maria da Graca,2,225162
11/13,Del Castilho,2,614918
11/13,Inhauma,2,158304
11/13,Engenho da Rainha,2,151068
11/13,Tomas Coelho,2,65694
11/13,Vicente de Carvalho,2,36763
11/13,Iraja,2,334555
11/13,Colegio,2,213932
11/13,Coelho Neto,2,381451
11/13,Acari/Fazenda Botafogo,2,135564
11/13,Engenheiro Rubens Paiva,2,197847
11/13,Pavuna,2,1216826
12/13,Saens Peña,1,1101241
12/13,Sao Francisco Xavier,1,242078
12/13,Afonso Pena,1,25631
12/13,Estacio,1,214197
12/13,Praca Onze,1,154798
12/13,Central,1,1405042
12/13,Presidente Vargas,1,19056
12/13,Uruguaiana,1,1026011
12/13,Carioca,1,1188416
12/13,Cinelândia,1,706382
12/13,Gloria,1,268781
12/13,Catete,1,26537
12/13,Largo do Machado,1,590833
12/13,Flamengo,1,430961
12/13,Botafogo,1,1218057
12/13,Cardeal Arcoverde,1,369248
12/13,Siqueira Campos,1,78087
12/13,Cantagalo,1,319846
12/13,Ipanema / General Osorio,1,350842
12/13,Cidade Nova,2,184361
12/13,Sao Cristovao,2,362411
12/13,Maracana,2,174587
12/13,Triagem,2,150139
12/13,Maria da Graca,2,217495
12/13,Del Castilho,2,629292
12/13,Inhauma,2,153861
12/13,Engenho da Rainha,2,148988
12/13,Tomas Coelho,2,65232
12/13,Vicente de Carvalho,2,351424
12/13,Iraja,2,329025
12/13,Colegio,2,203962
12/13,Coelho Neto,2,361022
12/13,Acari/Fazenda Botafogo,2,129931
12/13,Engenheiro Rubens Paiva,2,192846
12/13,Pavuna,2,1154357
01/14,Saens Peña,1,1109924
01/14,Sao Francisco Xavier,1,251766
01/14,Afonso Pena,1,263738
01/14,Estacio,1,215704
01/14,Praca Onze,1,155594
01/14,Central,1,1404621
01/14,Presidente Vargas,1,192785
01/14,Uruguaiana,1,1049138
01/14,Carioca,1,1306212
01/14,Cinelândia,1,78267
01/14,Gloria,1,286296
01/14,Catete,1,273093
01/14,Largo do Machado,1,601296
01/14,Flamengo,1,390715
01/14,Botafogo,1,1262283
01/14,Cardeal Arcoverde,1,399067
01/14,Siqueira Campos,1,633947
01/14,Cantagalo,1,324263
01/14,Ipanema / General Osorio,1,87002
01/14,Cidade Nova,2,199672
01/14,Sao Cristovao,2,350412
01/14,Maracana,2,162465
01/14,Triagem,2,160423
01/14,Maria da Graca,2,217341
01/14,Del Castilho,2,569601
01/14,Inhauma,2,156278
01/14,Engenho da Rainha,2,151793
01/14,Tomas Coelho,2,64427
01/14,Vicente de Carvalho,2,350854
01/14,Iraja,2,325187
01/14,Colegio,2,212093
01/14,Coelho Neto,2,376913
01/14,Acari/Fazenda Botafogo,2,143122
01/14,Engenheiro Rubens Paiva,2,199156
01/14,Pavuna,2,1209615
02/14,Saens Peña,1,1161738
02/14,Sao Francisco Xavier,1,293063
02/14,Afonso Pena,1,303913
02/14,Estacio,1,238739
02/14,Praca Onze,1,199103
02/14,Central,1,1624335
02/14,Presidente Vargas,1,226934
02/14,Uruguaiana,1,1124622
02/14,Carioca,1,1467258
02/14,Cinelândia,1,90403
02/14,Gloria,1,308474
02/14,Catete,1,29212
02/14,Largo do Machado,1,674732
02/14,Flamengo,1,431239
02/14,Botafogo,1,141605
02/14,Cardeal Arcoverde,1,381867
02/14,Siqueira Campos,1,681913
02/14,Cantagalo,1,338327
02/14,Ipanema / General Osorio,1,882484
02/14,Cidade Nova,2,238608
02/14,Sao Cristovao,2,432648
02/14,Maracana,2,1748
02/14,Triagem,2,169544
02/14,Maria da Graca,2,239834
02/14,Del Castilho,2,620919
02/14,Inhauma,2,162532
02/14,Engenho da Rainha,2,154885
02/14,Tomas Coelho,2,66181
02/14,Vicente de Carvalho,2,371194
02/14,Iraja,2,349888
02/14,Colegio,2,220238
02/14,Coelho Neto,2,406392
02/14,Acari/Fazenda Botafogo,2,139562
02/14,Engenheiro Rubens Paiva,2,2030
02/14,Pavuna,2,1209176
03/14,Uruguai,1,278226
03/14,Saens Peña,1,997229
03/14,Sao Francisco Xavier,1,303063
03/14,Afonso Pena,1,313461
03/14,Estacio,1,257184
03/14,Praca Onze,1,248751
03/14,Central,1,1694129
03/14,Presidente Vargas,1,206721
03/14,Uruguaiana,1,1090261
03/14,Carioca,1,1519255
03/14,Cinelândia,1,839929
03/14,Gloria,1,357459
03/14,Catete,1,274205
03/14,Largo do Machado,1,706854
03/14,Flamengo,1,44666
03/14,Botafogo,1,1410091
03/14,Cardeal Arcoverde,1,397286
03/14,Siqueira Campos,1,690534
03/14,Cantagalo,1,370499
03/14,Ipanema / General Osorio,1,959518
03/14,Cidade Nova,2,232875
03/14,Sao Cristovao,2,44066
03/14,Maracana,2,195337
03/14,Triagem,2,183938
03/14,Maria da Graca,2,253233
03/14,Del Castilho,2,654442
03/14,Inhauma,2,167415
03/14,Engenho da Rainha,2,159705
03/14,Tomas Coelho,2,66271
03/14,Vicente de Carvalho,2,380455
03/14,Iraja,2,35351
03/14,Colegio,2,219746
03/14,Coelho Neto,2,421135
03/14,Acari/Fazenda Botafogo,2,150313
03/14,Engenheiro Rubens Paiva,2,204748
03/14,Pavuna,2,1231752
04/14,Uruguai,1,513833
04/14,Saens Peña,1,768436
04/14,Sao Francisco Xavier,1,276483
04/14,Afonso Pena,1,292435
04/14,Estacio,1,25032
04/14,Praca Onze,1,201361
04/14,Central,1,1628802
04/14,Presidente Vargas,1,222267
04/14,Uruguaiana,1,108241
04/14,Carioca,1,1383439
04/14,Cinelândia,1,878359
04/14,Gloria,1,300243
04/14,Catete,1,288191
04/14,Largo do Machado,1,635058
04/14,Flamengo,1,421928
04/14,Botafogo,1,1358444
04/14,Cardeal Arcoverde,1,330316
04/14,Siqueira Campos,1,645799
04/14,Cantagalo,1,327065
04/14,Ipanema / General Osorio,1,814363
04/14,Cidade Nova,2,216034
04/14,Sao Cristovao,2,440326
04/14,Maracana,2,241938
04/14,Triagem,2,178132
04/14,Maria da Graca,2,234488
04/14,Del Castilho,2,640797
04/14,Inhauma,2,163693
04/14,Engenho da Rainha,2,159933
04/14,Tomas Coelho,2,65038
04/14,Vicente de Carvalho,2,358184
04/14,Iraja,2,346662
04/14,Colegio,2,21469
04/14,Coelho Neto,2,404503
04/14,Acari/Fazenda Botafogo,2,140489
04/14,Engenheiro Rubens Paiva,2,200641
04/14,Pavuna,2,1195455
05/14,Uruguai,1,581574
05/14,Saens Peña,1,82681
05/14,Sao Francisco Xavier,1,292101
05/14,Afonso Pena,1,330946
05/14,Estacio,1,277327
05/14,Praca Onze,1,223535
05/14,Central,1,1856826
05/14,Presidente Vargas,1,241516
05/14,Uruguaiana,1,1204148
05/14,Carioca,1,1538769
05/14,Cinelândia,1,977796
05/14,Gloria,1,322754
05/14,Catete,1,321474
05/14,Largo do Machado,1,701114
05/14,Flamengo,1,468809
05/14,Botafogo,1,1493512
05/14,Cardeal Arcoverde,1,361157
05/14,Siqueira Campos,1,709426
05/14,Cantagalo,1,357556
05/14,Ipanema / General Osorio,1,891113
05/14,Cidade Nova,2,237915
05/14,Sao Cristovao,2,462821
05/14,Maracana,2,223682
05/14,Triagem,2,196208
05/14,Maria da Graca,2,253968
05/14,Del Castilho,2,669464
05/14,Inhauma,2,18432
05/14,Engenho da Rainha,2,174281
05/14,Tomas Coelho,2,71386
05/14,Vicente de Carvalho,2,386751
05/14,Iraja,2,359301
05/14,Colegio,2,230485
05/14,Coelho Neto,2,42245
05/14,Acari/Fazenda Botafogo,2,152241
05/14,Engenheiro Rubens Paiva,2,21243
05/14,Pavuna,2,1205385
06/14,Uruguai,1,524711
06/14,Saens Peña,1,728716
06/14,Sao Francisco Xavier,1,299642
06/14,Afonso Pena,1,293714
06/14,Estacio,1,233828
06/14,Praca Onze,1,191923
06/14,Central,1,1626906
06/14,Presidente Vargas,1,210311
06/14,Uruguaiana,1,1067222
06/14,Carioca,1,1323081
06/14,Cinelândia,1,857519
06/14,Gloria,1,315604
06/14,Catete,1,297112
06/14,Largo do Machado,1,658277
06/14,Flamengo,1,435922
06/14,Botafogo,1,1377841
06/14,Cardeal Arcoverde,1,559702
06/14,Siqueira Campos,1,699537
06/14,Cantagalo,1,35523
06/14,Ipanema / General Osorio,1,913104
06/14,Cidade Nova,2,221243
06/14,Sao Cristovao,2,45025
06/14,Maracana,2,305018
06/14,Triagem,2,176564
06/14,Maria da Graca,2,228328
06/14,Del Castilho,2,634718
06/14,Inhauma,2,160632
06/14,Engenho da Rainha,2,155847
06/14,Tomas Coelho,2,63489
06/14,Vicente de Carvalho,2,377236
06/14,Iraja,2,318631
06/14,Colegio,2,206776
06/14,Coelho Neto,2,382507
06/14,Acari/Fazenda Botafogo,2,13464
06/14,Engenheiro Rubens Paiva,2,191275
06/14,Pavuna,2,1106483
07/14,Uruguai,1,591009
07/14,Saens Peña,1,820612
07/14,Sao Francisco Xavier,1,310067
07/14,Afonso Pena,1,322464
07/14,Estacio,1,266799
07/14,Praca Onze,1,217944
07/14,Central,1,1849692
07/14,Presidente Vargas,1,242605
07/14,Uruguaiana,1,1223415
07/14,Carioca,1,1571272
07/14,Cinelândia,1,989727
07/14,Gloria,1,339869
07/14,Catete,1,325622
07/14,Largo do Machado,1,733599
07/14,Flamengo,1,480465
07/14,Botafogo,1,1554514
07/14,Cardeal Arcoverde,1,521453
07/14,Siqueira Campos,1,76983
07/14,Cantagalo,1,393425
07/14,Ipanema / General Osorio,1,1017432
07/14,Cidade Nova,2,250188
07/14,Sao Cristovao,2,420721
07/14,Maracana,2,278758
07/14,Triagem,2,197548
07/14,Maria da Graca,2,252395
07/14,Del Castilho,2,678025
07/14,Inhauma,2,178733
07/14,Engenho da Rainha,2,171218
07/14,Tomas Coelho,2,6969
07/14,Vicente de Carvalho,2,419013
07/14,Iraja,2,352839
07/14,Colegio,2,230522
07/14,Coelho Neto,2,430007
07/14,Acari/Fazenda Botafogo,2,146913
07/14,Engenheiro Rubens Paiva,2,215194
07/14,Pavuna,2,1256366
08/14,Uruguai,1,586748
08/14,Saens Peña,1,802954
08/14,Sao Francisco Xavier,1,289208
08/14,Afonso Pena,1,323125
08/14,Estacio,1,270117
08/14,Praca Onze,1,237311
08/14,Central,1,1811608
08/14,Presidente Vargas,1,240627
08/14,Uruguaiana,1,1170172
08/14,Carioca,1,1522007
08/14,Cinelândia,1,967897
08/14,Gloria,1,326811
08/14,Catete,1,32284
08/14,Largo do Machado,1,703537
08/14,Flamengo,1,470933
08/14,Botafogo,1,1518899
08/14,Cardeal Arcoverde,1,371005
08/14,Siqueira Campos,1,707102
08/14,Cantagalo,1,366158
08/14,Ipanema / General Osorio,1,973426
08/14,Cidade Nova,2,237592
08/14,Sao Cristovao,2,437014
08/14,Maracana,2,288247
08/14,Triagem,2,203854
08/14,Maria da Graca,2,263796
08/14,Del Castilho,2,715888
08/14,Inhauma,2,183633
08/14,Engenho da Rainha,2,176493
08/14,Tomas Coelho,2,71902
08/14,Vicente de Carvalho,2,429107
08/14,Iraja,2,363857
08/14,Colegio,2,235538
08/14,Coelho Neto,2,447207
08/14,Acari/Fazenda Botafogo,2,150568
08/14,Engenheiro Rubens Paiva,2,221494
08/14,Pavuna,2,1271348
09/14,Uruguai,1,60264
09/14,Saens Peña,1,808883
09/14,Sao Francisco Xavier,1,292291
09/14,Afonso Pena,1,328971
09/14,Estacio,1,263839
09/14,Praca Onze,1,256607
09/14,Central,1,1871863
09/14,Presidente Vargas,1,254351
09/14,Uruguaiana,1,1207715
09/14,Carioca,1,1558262
09/14,Cinelândia,1,1001071
09/14,Gloria,1,325071
09/14,Catete,1,33024
09/14,Largo do Machado,1,699884
09/14,Flamengo,1,478393
09/14,Botafogo,1,1547521
09/14,Cardeal Arcoverde,1,370796
09/14,Siqueira Campos,1,708931
09/14,Cantagalo,1,371506
09/14,Ipanema / General Osorio,1,977917
09/14,Cidade Nova,2,247254
09/14,Sao Cristovao,2,452918
09/14,Maracana,2,298702
09/14,Triagem,2,207263
09/14,Maria da Graca,2,265974
09/14,Del Castilho,2,709242
09/14,Inhauma,2,187476
09/14,Engenho da Rainha,2,179611
09/14,Tomas Coelho,2,72412
09/14,Vicente de Carvalho,2,455014
09/14,Iraja,2,36778
09/14,Colegio,2,241975
09/14,Coelho Neto,2,460421
09/14,Acari/Fazenda Botafogo,2,153726
09/14,Engenheiro Rubens Paiva,2,227788
